threat_category,ioc
Malware/Riskware on System,lambchop[.]thisplace[.]ca
Malware/Riskware on System,hxxp://habarimoto24[.]com/Nh
Malware/Riskware on System,hxxp://fenett2018[.]com/dObgx
Malware/Riskware on System,hxxp://eastend[.]jp/Bl5kFA
Malware/Riskware on System,hxxp://bemnyc[.]com/u8ERiJeq
Malware/Riskware on System,hxxp://abakus-biuro[.]net/a9zqEmm
Malware/Riskware on System,hxxp://zedrevo[.]com/tst/index.php?l=soho8.tkn
Malware/Riskware on System,hertifical[.]com
Malware/Riskware on System,hxxp://vaderstog[.]com/Flux/tst/index.php?l=aa10.tkn
Malware/Riskware on System,hxxp://hertifical[.]com/tst/index.php?l=soho10.tkn
Malware/Riskware on System,lambchop[.]thisplace[.]ca
Malware/Riskware on System,hxxp://vezopilan[.]com/tst/index.php?l=soho7.tkn
Malware/Riskware on System,baberonto[.]com
Malware/Riskware on System,vedoriska[.]com
Malware/Riskware on System,cimoselin[.]com
Malware/Riskware on System,hxxp://cimoselin[.]com/tst/index.php?l=soho1.tkn
Malware/Riskware on System,hxxp://cimoselin[.]com/tst/index.php?l=soho2.tkn
Malware/Riskware on System,vezopilan[.]com
Malware/Riskware on System,bidesony[.]com
Malware/Riskware on System,hxxp://cimoselin[.]com/tst/index.php?l=soho5.tkn
Malware/Riskware on System,hxxp://memeconi[.]com/TNT/index.php?l=anti2.tkn
Malware/Riskware on System,fedvertisa[.]com
Malware/Riskware on System,hxxp://memeconi[.]com/TNT/index.php?l=anti3.tkn
Malware/Riskware on System,hxxp://vezopilan[.]com/tst/index.php?l=soho9.tkn
Malware/Riskware on System,apatternlike[.]com
Malware/Riskware on System,lolobec[.]website
Malware/Riskware on System,hxxp://miafashionropadeportiva[.]com/y
Malware/Riskware on System,hxxp://terabuild.sevencolours[.]eu/4bc2kL
Malware/Riskware on System,hxxp://oztax-homepage.tonishdev[.]com/Lg4
Malware/Riskware on System,hxxp://vioprotection[.]com.co/u
Malware/Riskware on System,hxxp://test.helos[.]no/6GZ24w1
Malware/Riskware on System,yfucgda[.]com
Malware/Riskware on System,pgtexkd[.]com
Malware/Riskware on System,hxxp://lementiora[.]com/YUY/huonasdh.php?l=oue2.tkn
Malware/Riskware on System,hxxp://beriodnas[.]com/YUY/huonasdh.php?l=vbn6.tkn
Malware/Riskware on System,nedioplina[.]com
Malware/Riskware on System,www.lementiora[.]com
Malware/Riskware on System,supportfilds[.]ru
Malware/Riskware on System,hxxp://nobles-iq[.]com
Malware/Riskware on System,hxxp://bba-es[.]com
Malware/Riskware on System,hxxp://studio-aqualuna[.]com/UpBe
Malware/Riskware on System,hxxp://krever[.]jp/5
Malware/Riskware on System,hxxp://santafetails[.]com/dcz6vEs
Malware/Riskware on System,hxxp://stolpenconsulting[.]com
Malware/Riskware on System,hxxp://repro4[.]com/website/wp-content/uploads/MbO
Malware/Riskware on System,hxxps://maindreamline[.]com/space/send.php2
Malware/Riskware on System,hxxp://monwepoasdnqw[.]com/YUY/huonasdh.php?l=kuk2.tkn
Malware/Riskware on System,hxxp://may64[.]co[.]pl/go[.]php?a_aid=5847df2ec7de8&fn=netflix
Malware/Riskware on System,hxxp://filegenerator[.]blob[.]core[.]windows[.]net/
Malware/Riskware on System,hxxps://intie.blob.core.windows.net/
Malware/Riskware on System,hxxp://pexirenta[.]com/YUY/huonasdh[.]php?l=kuk2.tkn
Malware/Riskware on System,hxxp://puntoyaparteseguros[.]com/I
Malware/Riskware on System,hxxp://infolierepvc[.]ro/z6OFthrp
Malware/Riskware on System,hxxp://mzep[.]ru/xGKS
Malware/Riskware on System,hxxp://grafobox[.]com/S@
Malware/Riskware on System,hxxp://haldeman[.]info/Zw
Malware/Riskware on System,hxxp://bba-es[.]com/cli.nkz
Malware/Riskware on System,hxxp://beds2buy[.]co.uk/cli.nkz
Malware/Riskware on System,hxxp://37.59.117[.]243/index.php?id=b3851d747c5cff6f99051aa0126fd11cd2cfc19b40bfcbf6dd7b15d815369703
Malware/Riskware on System,hxxp://ftp.impreac.com/
Malware/Riskware on System,hxxp://boloshortolandia[.]com/ozylgj6Z6
Malware/Riskware on System,hxxp://ncvascular[.]com.au/69V3Cpx
Malware/Riskware on System,hxxp://inmayjose[.]es/IB8JhFSXiV
Malware/Riskware on System,hxxp://lalievre[.]ca/O0Pmale
Malware/Riskware on System,hxxp://makmedia[.]ch/b5jSC1b
Malware/Riskware on System,hxxp://201[.]146[.]211[.]106:7080/
