iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
US,3306,3162867,41110769,mysql,FALSE,database,840,United States of America,Latin America and the Caribbean,Northern America,USA,840,111,USA,Americas
ID,3306,17147,329705,mysql,FALSE,database,360,Indonesia,Asia,South-Eastern Asia,IDN,360,536,IDN,Asia
HU,3306,9202,319720,mysql,FALSE,database,348,Hungary,Europe,Eastern Europe,HUN,348,944,HUN,Europe
%,3306,1110,3610,mysql,FALSE,database,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM,3306,482,59069,mysql,FALSE,database,51,Armenia,Asia,Western Asia,ARM,51,911,ARM,Asia
CL,3306,4316,217299,mysql,FALSE,database,152,Chile,Latin America and the Caribbean,South America,CHL,152,228,CHL,Americas
UZ,3306,281,91807,mysql,FALSE,database,860,Uzbekistan,Asia,Central Asia,UZB,860,927,UZB,Asia
EC,3306,1887,258707,mysql,FALSE,database,218,Ecuador,Latin America and the Caribbean,South America,ECU,218,248,ECU,Americas
YE,3306,157,7656,mysql,FALSE,database,887,Yemen,Asia,Western Asia,YEM,887,474,YEM,Asia
KP,3306,26,303,mysql,FALSE,database,408,Democratic People's Republic of Korea,Asia,Eastern Asia,PRK,408,NA,PRK,Asia
CK,3306,3,382,mysql,FALSE,database,184,Cook Islands,Oceania,Polynesia,COK,184,815,COK,Oceania
BF,3306,12,1263,mysql,FALSE,database,854,Burkina Faso,Africa,Western Africa,BFA,854,748,BFA,Africa
BJ,3306,35,1549,mysql,FALSE,database,204,Benin,Africa,Western Africa,BEN,204,638,BEN,Africa
ST,3306,4,237,mysql,FALSE,database,678,Sao Tome and Principe,Africa,Middle Africa,STP,678,716,STP,Africa
SG,3389,42264,602239,rdp,FALSE,gui-admin,702,Singapore,Asia,South-Eastern Asia,SGP,702,576,SGP,Asia
PR,3389,2174,66070,rdp,FALSE,gui-admin,630,Puerto Rico,Latin America and the Caribbean,Caribbean,PRI,630,NA,PRI,Americas
FR,3389,218782,2358135,rdp,FALSE,gui-admin,250,France,Europe,Western Europe,FRA,250,132,FRA,Europe
AT,3389,20536,365764,rdp,FALSE,gui-admin,40,Austria,Europe,Western Europe,AUT,40,122,AUT,Europe
EE,3389,4135,66660,rdp,FALSE,gui-admin,233,Estonia,Europe,Northern Europe,EST,233,939,EST,Europe
SK,3389,9291,130480,rdp,FALSE,gui-admin,703,Slovakia,Europe,Eastern Europe,SVK,703,936,SVK,Europe
LV,3389,6379,103835,rdp,FALSE,gui-admin,428,Latvia,Europe,Northern Europe,LVA,428,941,LVA,Europe
IS,3389,1988,25169,rdp,FALSE,gui-admin,352,Iceland,Europe,Northern Europe,ISL,352,176,ISL,Europe
NG,3389,3451,65815,rdp,FALSE,gui-admin,566,Nigeria,Africa,Western Africa,NGA,566,694,NGA,Africa
NE,3389,16,938,rdp,FALSE,gui-admin,562,Niger,Africa,Western Africa,NER,562,692,NER,Africa
PE,3389,10166,146332,rdp,FALSE,gui-admin,604,Peru,Latin America and the Caribbean,South America,PER,604,293,PER,Americas
MC,3389,272,2810,rdp,FALSE,gui-admin,492,Monaco,Europe,Western Europe,MCO,492,NA,MCO,Europe
SS,3389,30,418,rdp,FALSE,gui-admin,728,South Sudan,Africa,Eastern Africa,SSD,728,733,SSD,Africa
DM,3389,20,1433,rdp,FALSE,gui-admin,212,Dominica,Latin America and the Caribbean,Caribbean,DMA,212,321,DMA,Americas
SB,443,298,671,web,TRUE,web,90,Solomon Islands,Oceania,Melanesia,SLB,90,813,SLB,Oceania
AP,443,11667,12550,web,TRUE,web,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,443,175,860,web,TRUE,web,626,Timor-Leste,Asia,South-Eastern Asia,TLS,626,537,TMP,Asia
