cc,port,n
SG,445,12751
CN,445,63168
MK,445,913
FR,445,120766
A2,445,2932
HU,445,14434
SI,445,419
IS,445,573
IR,445,12205
%,445,1245
PR,445,1144
TZ,445,516
SN,445,758
CV,445,30
CO,445,22722
BW,445,104
BH,445,84
YT,445,12
SM,445,25
YE,445,361
AP,445,48
SB,445,10
TD,445,7
CN,5000,472178
HK,5000,104536
SA,5000,8642
NL,5000,64115
PT,5000,4211
AM,5000,442
DO,5000,70940
AR,5000,18159
ER,5000,1
JM,5000,225
GD,5000,20
AD,5000,60
NC,5000,219
TD,5000,1
SM,5000,35
DM,5000,12
HT,5000,31
KN,5000,21
TL,5000,3
MY,5900,6716
BE,5900,265684
BY,5900,302
DK,5900,5824
GD,5900,10
VC,5900,17
MO,5900,1183
A1,5900,241
GG,5900,20
DO,5900,70647
KN,5900,11
LB,5900,364
FK,5900,4
ET,5900,26
AP,5900,33
BF,5900,5
VA,5900,6
LI,5900,22
ML,5900,9
ML,8443,16
TH,9100,9302
NO,9100,5365
SG,9100,4121
CO,9100,3550
BR,9100,44203
AR,9100,8804
PA,9100,1492
KY,9100,15
SY,9100,36
TD,9100,1
BD,993,1512
FK,993,1288
QA,993,9072
MO,993,1039
VI,993,55
SL,993,6
YE,993,160
NC,993,118
KP,993,24
AO,993,153
LS,993,8
KN,993,16
MP,143,11
SH,3389,2
CX,445,1
BI,5000,2
NF,5900,1
TG,5900,5
TM,9100,2
PM,110,5
FM,110,1
VU,135,8
MS,3389,2
GN,445,3
ER,53,9
ER,5900,1
MS,8081,2
CX,8443,1
WF,25,7
LR,3306,9
GQ,3306,10
SL,3306,8
ER,465,4
SO,8081,10
AX,990,2
MQ,990,4
NU,995,2
AS,143,6
ST,143,2
AQ,1723,1
VN,8888,25844
SZ,8888,3
BS,8888,151
VG,8888,51
SO,8888,7
FJ,8888,26
IQ,8888,400
SY,8888,20
SS,8888,11
HT,8888,34
RU,1433,13037
BG,1433,4521
NL,1433,25031
KG,1433,80
TJ,1433,2040
LY,1433,75
BY,1433,278
UZ,1433,96
AM,1433,138
SN,1433,19
DO,1433,70891
KH,1433,115
SM,1433,5
GM,1433,21
MR,1433,3
ML,1433,9
AQ,465,1
NF,8443,1
LC,990,1
KI,1433,1
TH,389,8909
JP,389,117855
BY,389,274
MU,389,311
TN,389,133
LY,389,56
PY,389,80
IQ,389,124
NI,389,102
ET,389,34
CU,389,155
PF,389,1913
MC,389,24
NA,389,38
BB,389,18
SL,389,1
LA,389,11
AI,389,1
SZ,465,2
PN,8888,1
AG,990,4
PW,990,1
BL,1433,1
CC,389,1
CC,21,1
CC,8888,1
NU,389,1
KR,80,182316
NP,80,78
CH,80,74935
NO,80,130459
IL,80,88717
IT,80,164593
TR,80,298197
BE,80,73816
RS,80,18093
RE,80,20779
GG,80,458
AM,80,5293
AF,80,329
LC,80,922
ZM,80,2
AD,80,510
TM,80,1
SZ,9100,2
LB,111,478
SZ,111,14
ZM,111,126
BJ,111,36
LS,111,11
GD,111,19
EC,111,1396
UA,139,22855
JE,139,39
GR,139,4166
