cc,port,n
GH,8888,333
DO,8888,70662
DM,995,10
TD,110,2
ST,111,1
HK,1433,333230
GR,1433,2141
NG,1433,1830
OM,1433,210
BS,1433,142
RS,1433,511
MX,1433,10895
AD,1433,18
JE,1433,4
PY,1433,201
BM,1433,10
PN,1433,1
TO,465,20
YT,587,1
VA,990,1
MS,995,3
SH,139,1
AS,1433,3
SX,3306,4
ID,389,3667
IL,389,1996
CZ,389,5658
HR,389,522
MT,389,183
MY,389,2605
IE,389,1254
PR,389,211
GP,389,35
OM,389,171
EE,389,245
GG,389,12
IS,389,95
YE,389,149
BO,389,323
GU,389,16
LS,389,12
SZ,389,5
%,8081,6
BM,8888,4
TK,111,1
BQ,389,3
BL,8081,1
PM,8888,1
GY,8888,1
PN,995,1
CC,143,1
AQ,23,1
KP,23,1
CC,3306,1
TV,587,1
YT,995,2
MH,389,2
NF,389,1
KM,5900,2
SJ,8081,1
NF,995,1
KM,995,1
KM,389,1
KM,993,1
JP,80,260438
NZ,80,3059
RU,80,495241
KZ,80,70047
FI,80,76136
LU,80,10983
TW,80,271735
MM,80,134
MP,80,4
UY,80,4
DM,80,259
SZ,80,118
TK,9100,1
IL,111,5527
GI,111,1973
AT,111,8874
FI,111,4461
EU,111,7447
PR,111,995
BF,111,127
KH,111,400
BS,111,236
IM,111,306
AF,111,439
AX,111,31
NC,111,62
GT,111,247
ER,111,32
CG,111,570
BT,111,64
TG,111,37
BN,111,107
GF,111,25
AP,111,31
MC,111,18
CN,139,461879
ID,139,7504
TR,139,24928
IL,139,13748
NO,139,17646
EU,139,692
MK,139,757
MD,139,2996
KE,139,2382
SD,139,255
LR,139,17
AL,139,162
GU,139,11161
UY,139,875
PY,139,261
SR,139,2511
MG,139,154
GW,139,4
MP,139,7
KP,139,11
BE,143,265348
GE,143,740
HU,143,13434
NO,143,11986
IS,143,1222
EU,143,5271
BY,143,2150
KW,143,851
RS,143,2299
SY,143,99
MM,143,208
NA,143,203
SL,143,12
MC,143,89
GU,143,50
TC,143,8
BJ,143,39
IN,21,321220
NL,21,321036
TJ,21,2908
UZ,21,901
ZW,21,2832
GM,21,236
VC,21,3322
PE,21,16021
AO,21,3474
TG,21,155
MH,21,906
MF,21,34
NR,21,8
JM,22,7423
SE,22,119790
LB,22,3636
GT,22,5664
CG,22,5436
LS,22,281
SL,22,128
BD,22,10567
FM,22,1918
BH,22,2539
MH,22,962
JO,22,1523
SB,22,347
BZ,22,4150
YT,22,50
TD,22,76
ZA,23,66892
JM,23,10701
JP,23,336242
BW,23,1080
AL,23,6902
RW,23,1033
ZW,23,2852
SZ,23,680
FO,23,105
UZ,23,746
%,23,530
DO,23,240795
TK,23,2
TL,23,89
LI,23,141
FJ,23,1075
BR,23,782728
BI,23,216
GI,25,2199
HU,25,94324
PT,25,18782
QA,25,9537
IR,25,346845
CY,25,4922
BW,25,683
MV,25,263
IS,25,2660
GP,25,160
VU,25,101
KY,25,272
MX,25,226818
VE,25,1267674
AF,25,66
GL,25,128
BQ,25,35
KR,3306,194808
A2,3306,2996
SK,3306,2767
UG,3306,149
RW,3306,56
GA,3306,702
MN,3306,489
BM,3306,42
NE,3306,11
PE,3306,4701
GT,3306,505
NC,3306,106
SZ,3306,18
AP,3306,35
FJ,3306,11
TR,3389,67791
RO,3389,13650
ZM,3389,366
RW,3389,115
MG,3389,238
BT,3389,126
BO,3389,1982
SX,3389,42
KP,3389,20
TL,3389,9
GQ,3389,21
GU,443,10300
MN,443,3155
PK,443,37912
VU,443,370
MX,443,1899386
RW,443,741
TC,443,493
PN,443,121
MA,443,17092
RU,443,611951
LV,443,31253
SI,443,51993
KG,443,2142
LR,443,179
GB,465,217597
GI,465,2023
AE,465,523
IR,465,5483
TJ,465,2547
MD,465,975
GH,465,200
QA,465,9098
MN,465,255
DO,465,70614
MX,465,5664
CD,465,84
UY,465,424
CG,465,12733
PF,465,1919
AW,465,11
MP,465,12
CU,465,231
LA,465,50
BT,465,12
BB,465,70
AS,465,2
%,465,8
BJ,465,27
ID,53,70517
IT,53,118943
KG,53,615
A1,53,391
MU,53,1016
MZ,53,1199
TN,53,10108
ZM,53,583
MN,53,1031
GT,53,18970
MC,53,72
WF,53,486
BI,53,124
LA,53,194
CG,53,839
VN,587,15653
RU,587,83549
GB,587,209033
LT,587,8589
ZA,587,38693
NG,587,12518
KG,587,151
MW,587,48
AD,587,51
CG,587,1089
GD,587,10
KY,587,34
BB,587,82
CV,587,23
TW,8080,126741
UA,8080,50009
RS,8080,13188
ML,8080,325
TJ,8080,2517
MA,8080,6454
NG,8080,2365
CM,8080,1177
SD,8080,112
AD,8080,2492
CD,8080,84
SX,8080,1223
AG,8080,711
BT,8080,75
JP,8081,136423
CN,8081,605006
FR,8081,162701
BE,8081,325706
IR,8081,118032
MA,8081,10327
JE,8081,37
IS,8081,400
GE,8081,377
MG,8081,110
ML,8081,12
SR,8081,45
TG,8081,37
TC,8081,17
MM,8081,12
US,8443,3774950
AU,8443,214811
IE,8443,18563
DK,8443,7840
HR,8443,732
PA,8443,659
LA,8443,50
HT,8443,56
GM,8443,40
SC,8443,30
MR,8443,8
VC,8443,7
NG,990,922
MX,990,2964
JO,990,273
CW,990,42
MD,990,60
GU,990,11
LA,990,3
NZ,995,12194
FI,995,4723
IR,995,5801
YE,995,159
BR,995,38774
LU,995,2180
CI,995,141
SC,995,308
SS,995,32
VE,995,2382
EC,995,1984
TO,995,27
MR,995,11
KR,110,170873
VN,110,20915
PL,110,285547
EE,110,9350
LT,110,18350
ID,110,23417
GA,110,708
SC,110,330
BN,110,121
TN,110,279
CD,110,130
GU,110,50
SR,110,52
FO,110,22
KM,110,4
SY,135,101
BW,135,232
ZW,135,115
CD,135,108
CM,135,264
MV,135,1293
BB,135,64
VE,135,4365
BO,135,1198
AL,135,205
DZ,135,198
RW,135,128
GD,135,22
AS,135,8
GQ,135,17
YT,135,7
YT,143,5
ER,143,8
GB,1723,433529
SA,1723,13558
CY,1723,2925
LT,1723,18160
GE,1723,1346
RO,1723,17858
BS,1723,590
CC,1723,116
SB,1723,146
MR,1723,136
AZ,1723,1971
CG,1723,11687
KY,1723,309
PS,1723,858
BI,1723,163
SJ,1723,118
SH,1723,120
MS,1723,143
TL,25,43
US,445,1793759
KR,445,24079
PH,445,5163
IN,445,38494
LV,445,4858
CH,445,10341
AM,445,7316
MV,445,285
NP,445,640
WS,445,228
MZ,445,223
AF,445,569
PY,445,369
PE,445,4837
BI,445,23
MH,445,6
VU,445,13
TW,5000,51550
UA,5000,6097
AT,5000,8955
AO,5000,149
MV,5000,147
WS,5000,284
GM,5000,4
LA,5000,129
CO,5000,15043
IM,5000,413
LK,5000,469
GU,5000,93
BO,5000,1420
PM,5000,5
UG,5000,92
SR,5000,101
KM,5000,4
MF,5000,23
TW,5900,35203
GB,5900,82492
PL,5900,17688
GR,5900,2951
LT,5900,1242
AE,5900,866
PS,5900,80
ID,5900,4722
MA,5900,113
SI,5900,1545
WS,5900,299
QA,5900,9029
PG,5900,17
AD,5900,32
PF,5900,1937
AW,5900,25
SO,5900,9
SY,5900,10
LS,8443,4
JP,9100,116774
PL,9100,7795
SA,9100,7441
EG,9100,464
MG,9100,27
HR,9100,380
LT,9100,472
GE,9100,35
BO,9100,135
CG,9100,720
MC,9100,7
FO,9100,7
TT,9100,69
BF,9100,3
HT,9100,8
GB,993,219825
TR,993,63141
RO,993,64207
UA,993,22208
CY,993,835
KE,993,1965
MZ,993,633
MV,993,1890
LK,993,450
DO,993,70678
PY,993,568
BI,993,16
BT,993,26
ER,993,6
GL,110,9
GN,143,17
BQ,143,11
MH,1723,7
NU,23,2
VC,25,17
TC,53,10
BT,9100,2
LR,993,7
BT,135,1
PM,143,4
CX,22,1
KI,5000,2
TK,53,1
MH,5900,1
KI,993,1
BQ,139,8
ST,25,6
LS,3306,18
GQ,465,5
AX,465,11
SO,587,5
TV,8080,1
CV,990,4
BQ,995,3
CX,135,1
SJ,3389,1
SH,5000,1
MA,8888,12069
NA,8888,36
CV,8888,15
CR,8888,364
KP,8888,4
PE,8888,3292
CG,8888,2554
NC,8888,66
ST,8888,1
TD,8888,3
SJ,110,1
JP,1433,81143
GE,1433,222
TZ,1433,374
TN,1433,423
AO,1433,148
RO,1433,2223
BF,1433,5
GP,1433,16
BB,1433,18
BJ,1433,13
SX,1433,12
UY,1433,296
CD,1433,16
MS,3306,2
CF,111,1
SR,1433,12
BT,1433,2
NU,21,1
FO,3306,5
CO,389,6403
DO,389,70583
NP,389,60
RE,389,47
CI,389,69
ER,389,6
AW,389,15
AS,389,4
BZ,389,43
MR,389,15
LC,8888,17
SL,111,3
GL,3306,1
BL,3306,1
TV,389,2
SO,465,4
TD,3306,1
NU,3306,1
VA,8081,1
SH,8888,1
SJ,990,1
PW,8081,1
CC,8081,1
BL,143,1
BL,3389,1
CC,587,1
PL,80,439901
US,80,6719667
IS,80,8911
KW,80,416953
MA,80,2675
MX,80,4
KN,80,682
TH,111,14899
IN,111,25139
VN,111,6715
GB,111,113975
BE,111,258180
NO,111,7549
BY,111,1410
A1,111,271
MV,111,373
KY,111,63
LI,111,72
GM,111,29
CO,111,11567
YE,111,187
HT,111,74
SD,111,45
PG,111,21
CA,139,58410
KR,139,68615
RU,139,122975
DE,139,85844
OM,139,342
CI,139,284
UZ,139,322
PR,139,1031
VG,139,268
TT,139,5952
VE,139,1400
TC,139,8
KN,139,22
FJ,139,20
BF,139,36
ER,139,7
YT,139,14
MR,139,28
AX,139,15
VU,139,13
MF,139,2
KR,143,539211
CZ,143,31661
SA,143,8010
TR,143,87498
A1,143,276
MO,143,1039
TT,143,125
LK,143,634
AD,143,80
HK,21,223392
VN,21,77659
PS,21,22085
RO,21,91196
LT,21,21886
UG,21,624
EU,21,10026
CL,21,13148
PG,21,273
VG,21,3348
SC,21,888
WS,21,430
MR,21,106
TC,21,101
AD,21,278
CK,21,63
VU,21,18
KN,22,1123
IN,22,267233
PK,22,19996
DE,22,1138802
SI,22,11396
CY,22,6813
AX,22,3681
EG,22,32324
MK,22,3868
RO,22,60079
ZM,22,1694
BI,22,363
SZ,22,415
OM,22,1596
CO,22,108218
SX,22,770
MX,22,89396
NI,22,2159
EC,22,29730
GG,22,154
GP,22,272
AG,23,3181
UA,23,84033
HR,23,13435
BE,23,290426
IE,23,26132
GR,23,15026
HU,23,28736
JE,23,366
DZ,23,3439
SO,23,409
WS,23,387
BN,23,697
TT,23,25736
HN,23,5645
SY,23,501
MS,23,86
KR,25,484970
RU,25,245103
SE,25,47339
UZ,25,706
MK,25,954
CL,25,8227
TM,25,144
CD,25,170
PG,25,427
AO,25,897
BM,25,346
AI,25,133
GW,25,30
HT,25,66
GQ,25,23
IN,3306,59361
PH,3306,5210
DE,3306,372814
LT,3306,11110
AF,3306,261
PR,3306,303
UY,3306,618
TL,3306,10
SS,3306,29
HT,3306,31
ZA,3389,53595
JP,3389,175699
DE,3389,214139
EG,3389,8473
AE,3389,7166
LK,3389,1532
CI,3389,416
AO,3389,947
SC,3389,99
MK,3389,2007
TC,3389,34
MX,3389,42596
LR,3389,23
DO,3389,72620
NP,3389,668
LA,3389,212
CW,3389,431
AW,3389,191
SR,3389,173
SB,3389,30
AP,3389,82
FM,3389,15
YT,3389,30
KH,443,4960
WF,443,158
PW,443,161
PF,443,2670
KI,443,132
DJ,443,318
SH,443,118
AI,443,373
CO,443,246763
DZ,443,2985
RO,443,122821
CR,443,26254
KW,443,22805
MZ,443,2319
RU,465,83573
RS,465,1522
NO,465,9750
LU,465,2696
WS,465,291
AZ,465,1176
CI,465,106
NC,465,153
GM,465,6
CM,465,30
ML,465,19
WF,465,2
SG,53,31457
TH,53,132204
PK,53,81281
MY,53,25458
DK,53,15787
SE,53,60754
FI,53,11601
MD,53,5936
MK,53,3393
SV,53,5448
BS,53,802
MT,53,1719
ML,53,108
SY,53,1105
OM,53,377
GD,53,84
SL,53,62
CK,53,14
CA,587,136616
PH,587,2855
PK,587,4546
DE,587,343758
SE,587,19286
NO,587,9723
SK,587,2548
AI,587,81
GG,587,26
AR,587,15513
KH,587,392
GT,587,342
YE,587,170
BN,587,95
DM,587,5
HK,8080,160671
LI,8080,349
FI,8080,15989
MK,8080,4325
LT,8080,8481
EE,8080,11602
AZ,8080,3379
AO,8080,911
TN,8080,35392
GF,8080,960
BH,8080,1680
BO,8080,2793
BQ,8080,128
PM,8080,32
AS,8080,21
GL,8080,38
KM,8080,8
HK,8081,110940
FI,8081,24270
AX,8081,71
BD,8081,731
IQ,8081,216
SC,8081,125
JM,8081,156
MK,8081,743
AZ,8081,876
SN,8081,120
CR,8081,727
PS,8081,133
SD,8081,38
SS,8081,22
SM,8081,31
CA,8443,60712
CN,8443,405195
ID,8443,5088
ES,8443,65507
JO,8443,604
PT,8443,9517
IS,8443,261
SK,8443,1965
TJ,8443,2677
MA,8443,701
NP,8443,136
SD,8443,45
SM,8443,36
ET,8443,29
NE,8443,13
SR,8443,24
MF,8443,7
PW,8443,3
HK,990,84857
BE,990,262367
UZ,990,29
RO,990,7166
TJ,990,1849
DZ,990,1381
BD,990,71
GY,990,6
CL,990,608
IS,990,46
BB,990,16
AL,990,21
MS,990,1
VC,990,7
JP,995,535018
KZ,995,1556
LV,995,5333
JE,995,19
IQ,995,197
LR,995,7
CL,995,3455
SO,995,10
CM,995,44
UY,995,420
ME,995,86
RE,995,52
BM,995,21
CF,995,5
KY,995,32
CA,110,492921
TW,110,90456
NL,110,173962
LV,110,5865
RO,110,68181
PT,110,11949
BS,110,335
MU,110,441
LY,110,179
PS,110,378
GE,110,754
LK,110,790
LI,110,136
MG,110,165
RW,110,36
HN,110,977
SV,110,374
SN,110,67
CV,110,12
TV,110,2
PH,135,5394
A2,135,2913
SN,135,253
VI,135,287
UG,135,269
GY,135,16
ER,135,8
CU,135,1
GY,143,11
NU,143,2
HK,1723,266519
KR,1723,516676
TW,1723,159212
VN,1723,45079
GI,1723,2314
BG,1723,11915
%,1723,501
KH,1723,2599
CF,1723,123
KM,1723,119
NE,1723,131
AW,1723,264
HT,1723,217
CW,1723,377
DM,25,19
SL,25,17
WF,3389,5
DE,445,120825
BG,445,5836
PS,445,513
PT,445,7209
GH,445,773
GA,445,580
ZM,445,147
DO,445,71094
VG,445,158
TC,445,12
RE,445,186
MQ,445,112
GP,445,146
HT,445,117
PA,445,2235
SS,445,25
KM,445,7
JP,5000,139227
IT,5000,13739
AX,5000,29
SG,5000,9352
IN,5000,53022
VN,5000,22830
SI,5000,1994
GY,5000,18
KY,5000,50
BZ,5000,116
CU,5000,109
SB,5000,8
BF,5000,9
GW,587,2
DE,5900,50886
BG,5900,2754
NL,5900,31893
IT,5900,14138
TJ,5900,1891
DZ,5900,1406
BI,5900,7
MC,5900,53
IS,5900,413
KZ,5900,372
LK,5900,155
BR,5900,23872
UY,5900,605
LS,5900,7
GY,5900,16
KR,9100,124636
DK,9100,5320
RU,9100,19043
CH,9100,4300
A2,9100,2767
IE,9100,1550
PT,9100,545
PR,9100,245
RO,9100,8320
MU,9100,236
MD,9100,159
MT,9100,217
NU,9100,1
CR,9100,139
MM,9100,4
KH,9100,41
SJ,9100,1
PM,9100,2
ZA,993,38202
FI,993,6030
SE,993,21133
IR,993,5635
PG,993,195
A1,993,2030
CI,993,142
PR,993,399
LB,993,706
AL,993,113
VE,993,2395
LC,993,13
MP,993,13
NU,135,1
NR,143,4
KI,23,15
NR,445,1
GN,5000,3
TD,53,16
AQ,53,5
GN,5900,3
AI,5900,6
BL,8443,1
GY,993,10
TV,22,7
KI,445,3
MH,5000,2
GW,53,7
ER,8080,4
FO,8081,17
NF,9100,1
SH,143,1
CU,445,1
PN,5000,1
DJ,5900,4
PM,111,11
SX,465,4
SB,587,8
BI,990,3
BF,990,2
FO,990,3
SC,990,2
TO,990,1
TC,995,6
BL,995,1
GQ,110,7
TL,8081,5
RO,8888,12409
AT,8888,4307
GR,8888,7362
HU,8888,5264
AM,8888,333
BE,8888,266122
BA,8888,14237
TH,8888,16779
ZA,8888,21610
TZ,8888,339
RS,8888,701
NP,8888,93
AO,8888,131
AF,8888,212
MG,8888,53
TT,8888,123
SV,8888,91
SM,8888,22
WF,993,2
SK,1433,900
AZ,1433,808
MA,1433,374
BR,1433,24180
PS,1433,144
CR,1433,731
ET,1433,50
SV,1433,227
BN,1433,70
HT,1433,28
ER,1433,2
MF,1433,3
TG,1433,8
LI,1433,4
TD,1433,2
TV,3389,1
FM,587,2
NR,8080,2
SH,8443,1
BL,990,1
NR,139,1
LR,1433,2
VN,389,2117
NO,389,4473
SG,389,4125
NG,389,1984
GA,389,724
LV,389,671
MD,389,131
SY,389,11
AF,389,234
RS,389,260
BN,389,77
UG,389,115
NR,389,2
TG,389,9
VC,389,5
ML,389,12
PG,389,20
LR,990,1
SJ,995,1
CC,111,1
MH,111,2
GF,1433,2
PM,1433,2
LC,389,8
TC,389,2
CX,111,1
KM,1433,1
GQ,389,5
KM,8888,3
ST,993,1
PM,389,1
NR,8888,1
DJ,8888,1
VN,80,4507
AZ,80,8964
BA,80,13597
DK,80,152013
CA,80,273011
SI,80,14392
EU,80,210953
LV,80,35985
LK,80,28
KE,80,798
KY,80,1036
PM,80,61
TG,80,265
FO,80,165
KM,9100,1
RU,111,151001
EE,111,2159
BD,111,1993
ZW,111,612
MU,111,344
NG,111,1124
CI,111,55
DZ,111,1533
MZ,111,602
FJ,111,37
SY,111,46
JE,111,21
NP,111,193
SS,111,22
IN,139,43652
SG,139,8913
PK,139,12873
FI,139,7874
CY,139,1191
PG,139,32
YE,139,263
DZ,139,181
LK,139,304
BN,139,35
RW,139,128
CV,139,28
GY,139,15
AI,139,6
US,143,5932850
FI,143,6008
IT,143,47445
UZ,143,384
ID,143,23218
MA,143,1069
LS,143,4624
AM,143,411
PR,143,765
LI,143,115
BZ,143,553
CM,143,121
CD,143,129
IQ,143,200
KI,143,2
GP,143,47
AU,21,322965
NZ,21,27353
PL,21,408874
BE,21,315280
CY,21,4655
HU,21,45038
JO,21,1501
MV,21,1353
NA,21,466
LY,21,2897
SO,21,306
BJ,21,217
MC,21,261
BO,21,24929
SB,21,230
GY,21,404
TW,22,197705
SA,22,29529
IE,22,184010
AE,22,27149
BS,22,1111
MV,22,2160
YE,22,832
ZA,22,96731
CI,22,712
BJ,22,312
MP,22,203
GQ,22,350
NE,22,254
RE,22,681
CV,22,122
WF,22,150
MF,22,36
PH,23,40869
DE,23,144930
GB,23,211440
IL,23,65402
FR,23,348545
SK,23,16424
LB,23,5251
EU,23,4270
EG,23,35820
MW,23,813
GD,23,1477
BM,23,609
FK,23,1292
GL,23,103
DM,23,425
MQ,23,283
HT,23,1492
IO,23,173
DE,25,722503
IT,25,78887
EE,25,13036
JE,25,344
NO,25,22372
IE,25,20755
TJ,25,2497
ET,25,97
ZW,25,664
AZ,25,1838
A2,25,3059
WS,25,344
AL,25,340
MW,25,107
LA,25,166
NE,25,67
SZ,25,64
CG,25,897
BO,25,61228
NI,25,6085
PF,25,1936
NZ,3306,9794
CH,3306,17743
FR,3306,232024
IT,3306,35188
GE,3306,730
LU,3306,1679
JO,3306,362
MO,3306,1039
NA,3306,66
MC,3306,26
ET,3306,50
TV,3306,3
DJ,3306,15
GY,3306,8
TW,3389,90474
ID,3389,13240
LB,3389,1570
BG,3389,10864
QA,3389,10038
JO,3389,2086
IQ,3389,481
MA,3389,3022
TN,3389,1831
AL,3389,508
MO,3389,1493
TM,3389,52
BQ,3389,35
KM,3389,6
NZ,443,83763
BD,443,12461
LA,443,1264
NL,443,2439469
WS,443,593
DM,443,345
OM,443,4690
FI,443,82292
GQ,443,295
LU,443,25071
GP,443,1573
AD,443,1285
YT,443,71
MR,443,252
EU,465,4848
EE,465,3697
SK,465,4219
IE,465,6197
ID,465,14486
KZ,465,1274
MU,465,346
GN,465,14
KW,465,201
LB,465,661
BS,465,263
ME,465,53
AO,465,126
JM,465,53
RW,465,23
RS,53,22162
SK,53,18697
HR,53,6490
PT,53,18252
LY,53,1105
RW,53,209
SZ,53,72
BZ,53,1420
NC,53,138
IM,53,488
UY,53,3647
HT,53,1231
KP,53,21
US,587,4174042
FR,587,232416
MD,587,939
LI,587,370
GH,587,181
UA,587,18014
OM,587,212
CR,587,959
LB,587,583
CI,587,81
JM,587,80
PE,587,4143
GM,587,23
TG,587,19
SC,587,326
TL,587,20
PF,587,1919
BQ,587,6
TT,587,69
KP,587,18
LC,587,10
IN,8080,103727
CA,8080,233583
KR,8080,844998
RO,8080,163208
GG,8080,264
SI,8080,8698
NP,8080,4414
PH,8080,19603
MV,8080,1338
BB,8080,367
CW,8080,988
SV,8080,9371
SM,8080,193
PW,8080,144
DM,8080,50
GY,8080,81
LS,8080,22
TR,8081,537217
KW,8081,3361
LV,8081,2911
BH,8081,13234
PR,8081,1015
CO,8081,11700
GT,8081,321
CV,8081,43
BG,8443,3847
FR,8443,144522
IL,8443,8401
GI,8443,2002
UA,8443,3312
CY,8443,1718
TZ,8443,575
MW,8443,40
OM,8443,510
MQ,8443,185
PS,8443,152
SV,8443,126
JM,8443,142
EE,990,946
ZM,990,15
PH,990,1167
SK,990,466
SI,990,776
CR,990,88
GE,990,31
MR,990,1
TN,990,32
CN,995,337560
PL,995,279003
HU,995,11054
NO,995,9324
MN,995,305
MK,995,496
ML,995,31
AZ,995,1225
PA,995,6076
GH,995,153
SV,995,255
SD,995,51
ET,995,32
TL,995,20
AW,995,6
IT,110,48510
GG,110,16
KE,110,2443
LR,110,8
ZM,110,141
PE,110,5746
VE,110,3690
SS,110,36
KG,110,192
KN,110,25
TG,110,30
YE,110,127
ZA,135,34286
TW,135,200276
DE,135,116905
FR,135,150695
CZ,135,15324
EE,135,1170
MG,135,182
CI,135,233
MU,135,508
PA,135,1120
EC,135,1533
OM,135,379
TG,135,26
FM,135,4
CV,143,13
SX,143,18
PE,1723,6151
AT,1723,34892
NL,1723,232226
PT,1723,26393
MT,1723,1697
FI,1723,7126
MK,1723,1728
AO,1723,662
BW,1723,291
GY,1723,202
KI,1723,129
EC,1723,6337
MX,1723,25879
CM,1723,362
PG,1723,226
TO,1723,144
GL,1723,268
PY,1723,657
CU,1723,367
SL,1723,156
NF,1723,118
TM,23,44
GW,3389,10
VA,3389,7
PK,445,12417
KW,445,2077
MW,445,43
LT,445,3128
GT,445,1507
ET,445,100
LA,445,83
CL,445,4633
KY,445,66
ST,445,7
MM,445,28
GR,5000,3006
GH,5000,134
KE,5000,816
OM,5000,363
FI,5000,3685
UZ,5000,88
IQ,5000,165
YE,5000,146
PY,5000,350
CG,5000,810
GQ,5000,5
MW,5000,6
NZ,5900,8778
ES,5900,44013
FR,5900,107396
UA,5900,3207
HU,5900,4839
NE,5900,8
BD,5900,627
EC,5900,861
MG,5900,65
SD,5900,20
ME,5900,55
PW,5900,6
SB,5900,3
AX,5900,15
VA,8080,5
DE,9100,52289
IL,9100,2723
SE,9100,5480
EU,9100,3684
IT,9100,8362
ET,9100,24
IN,9100,8686
IR,9100,4487
NA,9100,19
DZ,9100,1363
MZ,9100,540
NG,9100,895
BM,9100,12
GQ,9100,1
CM,9100,6
TH,993,16613
NZ,993,13177
NO,993,10319
A2,993,2906
EE,993,9208
BW,993,104
TL,993,22
MK,993,513
WS,993,304
BH,993,71
MC,993,53
BF,993,22
SR,993,41
MW,993,45
TO,993,20
VC,993,4
BL,993,1
DJ,993,8
CK,993,8
VC,143,9
AQ,445,2
CX,5000,1
SO,5000,1
PM,5900,3
BW,9100,11
LR,9100,4
LS,5000,2
ER,9100,1
PW,110,5
KI,3389,4
MS,5000,2
DJ,9100,1
KN,111,16
ST,587,2
PN,990,1
AG,995,11
BL,5000,1
UA,8888,6591
UZ,8888,84
ID,8888,9342
MK,8888,539
ZM,8888,29
WS,8888,284
LB,8888,662
LV,8888,1082
CO,8888,6321
BR,8888,48387
CL,8888,1353
BO,8888,650
TV,8888,2
KG,8888,36
BW,8888,21
AW,8888,21
NF,110,1
ES,1433,36326
GB,1433,75142
EG,1433,3668
GT,1433,486
CG,1433,2095
ZW,1433,50
VU,1433,2
AI,1433,3
GG,1433,8
TV,1433,2
AQ,139,1
TC,1433,3
VI,1433,3
SJ,1433,1
IN,389,12640
PK,389,1196
NL,389,24385
SE,389,2752
LT,389,424
FI,389,900
MA,389,289
CD,389,19
NE,389,6
KZ,389,484
BR,389,19327
AL,389,46
EC,389,890
BI,389,11
BT,389,25
ME,389,32
RW,389,16
%,389,6
CF,389,4
PN,8080,1
CX,8888,3
PG,8888,5
BQ,8888,2
VU,990,1
WF,995,2
SJ,143,1
DM,1433,3
SB,389,1
TV,111,2
GQ,1433,1
CX,1433,1
TK,3306,1
TD,389,1
TO,8888,1
GN,3306,3
SH,995,1
IO,135,2
IO,143,1
RO,80,178538
PS,80,16550
AE,80,13018
JO,80,35562
PK,80,2855
CL,80,401
GD,80,1546
DO,80,7263
LA,80,1
WS,80,137
CD,80,38
GH,80,113
TV,9100,1
KR,111,639591
CN,111,476319
PK,111,1994
DE,111,157231
PS,111,138
RS,111,1067
SE,111,36858
MK,111,537
TZ,111,508
MG,111,173
VC,111,18
TT,111,78
GU,111,22
AG,111,31
US,139,918154
LT,139,2667
GE,139,1815
EE,139,977
KG,139,260
CM,139,118
GA,139,456
SC,139,32
RS,139,1230
BT,139,2
RE,139,405
EC,139,1677
CR,139,1132
ML,139,29
BJ,139,44
KY,139,51
DM,139,9
NF,139,1
PW,139,17
RO,143,69025
HR,143,2940
ZA,143,37667
MT,143,562
JO,143,762
PS,143,378
PY,143,648
CW,143,158
FJ,143,120
BB,143,118
BT,143,71
SS,143,42
MD,21,6850
UA,21,84566
SE,21,104121
FR,21,466751
MK,21,3418
AM,21,4899
YE,21,3212
TZ,21,1602
CM,21,1826
CD,21,528
CF,21,7
SM,21,639
SX,21,59
LA,21,1721
SS,21,45
AQ,21,4
BT,21,134
BQ,21,3962
DJ,21,14
SG,22,211213
KR,22,238208
PL,22,367804
RS,22,38355
SK,22,25289
BE,22,312991
KY,22,2007
PG,22,1597
AZ,22,4283
MZ,22,3870
UZ,22,1218
SM,22,569
GI,22,1478
FK,22,1293
SR,22,7657
IO,22,160
CN,23,3340828
CH,23,11917
PS,23,7428
VC,23,3484
TJ,23,2807
YE,23,2213
AO,23,4748
VI,23,450
KY,23,947
BT,23,631
DJ,23,171
ER,23,82
PK,25,5883
GT,25,264873
BS,25,643
KH,25,6078
TC,25,17
GD,25,64
CU,25,1656
BT,25,117
AX,25,72
JP,3306,257290
UA,3306,40901
PL,3306,265150
ES,3306,77879
IL,3306,3956
BG,3306,18342
MU,3306,359
LY,3306,111
TZ,3306,790
SC,3306,710
JM,3306,85
TG,3306,20
CO,3306,7679
PY,3306,552
PA,3306,3260
MQ,3306,17
LC,3306,8
KY,3306,21
VI,3306,11
KR,3389,229717
IN,3389,87929
SE,3389,32981
GR,3389,11463
KE,3389,2710
SD,3389,160
LY,3389,227
GG,3389,57
UZ,3389,710
CM,3389,220
VC,3389,42
MM,3389,105
SM,3389,117
TT,3389,562
AX,3389,70
CU,3389,332
SY,3389,189
PN,3389,1
NF,3389,2
KR,443,1206508
MY,443,86968
HK,443,263392
CA,443,767620
ID,443,53763
AF,443,977
NC,443,2563
NR,443,148
VG,443,2273
MS,443,139
NO,443,105228
AT,443,157293
TJ,443,3400
FM,443,403
SX,443,464
IO,443,32
PE,465,4072
CH,465,23324
AT,465,11842
LT,465,7944
ZW,465,718
MA,465,1052
VG,465,2023
MT,465,340
CL,465,3341
SB,465,10
CV,465,17
US,53,3472032
AG,53,690
JP,53,470945
EG,53,10626
NL,53,238179
ES,53,270618
ZA,53,69678
BY,53,4407
AZ,53,4731
MX,53,105232
CI,53,1212
GN,53,311
PS,53,7134
BH,53,453
MP,53,30
