country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
Saint Kitts and Nevis,"2,518","14,336",221 (1.5%),"1,382 (9.6%)",60,"1,106 (7.7%)",950 (6.6%),963 (6.7%),46,18,24,15,10,1,1,3,147 (1.0%),1,22,37,7,163 (1.1%),55,8,12,31,15,113,21,2,19,6,22
Taiwan,"2,457,256","35,511,552","447,355 (1.3%)","1,576,384 (4.4%)","233,141","216,868","196,486","205,224","634,813 (1.8%)","51,678","80,035","55,303","85,309","28,431","55,910","16,757","168,037","2,331","52,055","92,945","73,797","166,270","75,374","32,001","76,792","66,309","84,701","189,413","80,694","55,640","64,732","56,770","110,686"
Bulgaria,"393,851","4,429,056","77,999 (1.8%)","220,593 (5.0%)","59,302 (1.3%)","58,753 (1.3%)","21,954","57,359 (1.3%)","48,646 (1.1%)","25,378","25,166","21,914","27,684","3,269","3,476","9,119","9,858","2,763","6,210","7,676","20,981","16,416","14,968","15,568","12,742","17,160","5,093","96,546 (2.2%)","9,223","2,985","7,465","10,352","8,947"
South Sudan,"1,599","14,336",79,"1,324 (9.2%)",6,308 (2.1%),50,135,30,37,53,4,19,15,30,26,36,0,26,19,40,152 (1.1%),43,39,4,33,26,81,24,15,24,12,26
Mongolia,"32,966","226,048","3,126 (1.4%)","30,486 (13.5%)",900,"2,331 (1.0%)","1,724","1,567",478,345,373,295,496,34,82,347,823,25,537,74,304,860,787,196,266,283,77,859,304,30,89,65,567
Peru,"191,007","3,171,072","76,253 (2.4%)","89,592 (2.8%)","18,561","15,674","39,879 (1.3%)","18,826","7,556","5,137","5,465","4,580","5,310","3,739","4,176","5,804","5,587","3,556","5,060","4,402","4,557","7,061","10,976","4,507","4,532","4,563","4,014","65,342 (2.1%)","5,509","3,589","4,641","2,511","5,483"
Thailand,"1,953,700","9,056,000","282,602 (3.1%)","1,457,645 (16.1%)","117,197 (1.3%)","98,127 (1.1%)","51,334","108,448 (1.2%)","207,592 (2.3%)","20,419","24,233","16,029","24,083","7,852","8,383","10,838","10,774","2,880","15,379","16,407","15,903","32,009","33,373","13,649","15,449","15,389","13,401","243,765 (2.7%)","20,289","6,757","13,582","9,007","16,913"
Spain,"2,382,967","30,237,760","364,930 (1.2%)","1,383,913 (4.6%)","249,534","401,813 (1.3%)","251,047","347,474 (1.1%)","235,165","110,957","112,296","83,995","80,393","35,669","32,382","33,862","46,411","30,105","50,382","54,886","82,965","74,971","97,367","46,277","75,174","79,684","41,054","228,762","131,742","32,017","70,803","26,823","59,276"
Dominica,"1,247","11,520",256 (2.2%),699 (6.1%),43,431 (3.7%),360 (3.1%),343 (3.0%),59,12,16,18,15,3,3,9,140 (1.2%),1,8,17,17,149 (1.3%),20,9,17,14,9,58,14,1,7,1,7
Croatia,"140,092","2,154,304","19,873","28,871 (1.3%)","9,253","13,222","10,215","10,416","7,249","5,628","5,620","5,487","4,668","3,052","3,437","3,744","5,377","2,650","4,126","3,798","5,065","11,156","9,033","3,666","5,234","4,893","3,609","11,522","5,696","3,078","3,926","2,520","4,254"
Russian Federation,"2,491,130","45,145,344","595,596 (1.3%)","1,178,909 (2.6%)","342,589","555,447 (1.2%)","236,728","361,326","277,760","134,172","147,328","110,655","143,879","22,216","21,921","26,368","209,641","16,431","104,591","40,301","110,308","183,485","126,843","166,094","109,367","110,569","33,978","265,974","55,836","12,046","39,790","28,165","106,221"
Uzbekistan,"98,180","230,912","1,589","92,662 (40.1%)",734,"1,435",427,"1,015",782,465,567,392,324,50,102,120,963,33,299,141,413,769,716,476,353,338,71,572,"2,612 (1.1%)",41,220,"1,468",588
Guatemala,"279,636","608,512","15,126 (2.5%)","21,152 (3.5%)","10,305 (1.7%)","6,061","19,332 (3.2%)","13,544 (2.2%)","268,200 (44.1%)",423,518,338,507,83,237,455,"1,514",21,"1,104",582,255,"2,779","1,794",203,329,346,278,"1,809",283,51,304,448,"1,155"
