country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
Equatorial Guinea,1050,16384,178 (1.1%),749 (4.6%),82,356 (2.2%),139,82,22,7,7,5,14,1,5,4,133,1,10,3,6,154,20,9,6,6,6,33,13,2,2,2,9
Netherlands,3475646,50012384,"2,481,427 (5.0%)","2,615,647 (5.2%)","209,772","422,371","45,133","238,243","266,695","150,455","165,523","187,729","136,527","7,934","9,756","10,816","48,596","30,471","23,352","66,653","147,070","239,465","133,048","68,681","139,802","133,700","16,908","183,405","74,127","7,210","96,686","14,969","58,232"
Belize,8828,161792,"2,831 (1.7%)","5,637 (3.5%)",754,"3,992 (2.5%)","2,626 (1.6%)","2,260 (1.4%)","1,465",731,729,665,706,11,46,18,264,22,115,89,661,226,204,158,582,595,32,968,143,6,66,76,128
Timor-Leste,1357,13568,110,738 (5.4%),97,109,49,71,33,19,21,16,16,1,6,1,1,1,3,3,16,32,12,8,11,21,6,522 (3.8%),4,1,6,1,2
Bosnia and Herzegovina,51004,795392,"9,648 (1.2%)","20,474 (2.6%)","9,998 (1.3%)","9,980 (1.3%)","22,049 (2.8%)","6,332","1,095",638,708,513,609,117,147,641,982,39,537,795,498,"2,439","1,673",353,480,529,222,"3,183",345,94,353,"9,907 (1.2%)",561
Armenia,49970,612640,"14,291 (2.3%)","25,662 (4.2%)","4,025","6,856 (1.1%)","2,672","4,355","1,342",445,969,339,495,21,66,184,"5,676",35,"1,160",610,316,"1,412","1,192",300,407,404,84,"1,561","1,228",15,189,148,"1,526"
Kazakhstan,257883,2931200,"174,634 (6.0%)","151,121 (5.2%)","111,050 (3.8%)","12,733","5,905","15,112","4,502","2,722","2,548","2,476","1,762",226,525,597,"6,602",8,"3,000",905,"1,803","4,114","5,698","1,310","2,114","1,936",454,"5,765",810,107,964,"1,436","1,759"
Bahamas,8599,136704,"2,496 (1.8%)","5,512 (4.0%)",655,"1,081","1,045",796,585,247,260,186,174,45,90,63,135,32,29,254,170,528,596,156,209,150,81,895,255,35,247,49,26
Papua New Guinea,3985,58368,866 (1.5%),"1,961 (3.4%)",366,"1,547 (2.7%)",582,300,436,207,278,150,43,3,20,6,155,1,32,10,163,232,179,171,183,221,15,194,47,4,910 (1.6%),5,37
Guyana,3436,60416,"1,134 (1.9%)","1,310 (2.2%)",126,"1,029 (1.7%)",997 (1.7%),"1,297 (2.1%)",535,519,522,9,12,8,9,8,152,1,27,42,8,211,77,23,10,11,12,140,64,4,19,3,538
Guinea-Bissau,213,6144,20,172 (2.8%),6,18,31,4,30,1,1,2,1,1,3,2,132 (2.1%),1,4,1,3,120 (2.0%),5,1,2,2,1,4,2,1,2,0,4
Tonga,412,9728,113 (1.2%),295 (3.0%),35,43,7,16,54,25,23,15,19,2,14,3,122 (1.3%),1,4,6,22,142 (1.5%),18,11,16,23,6,23,3,2,8,1,3
San Marino,1901,34560,634 (1.8%),936 (2.7%),389 (1.1%),441 (1.3%),556 (1.6%),282,109,47,49,51,33,22,4,5,133,1,11,33,31,195,49,25,43,50,8,291,18,1,21,5,12
"Moldova, Republic of",107744,1318400,"21,278 (1.6%)","33,797 (2.6%)","6,663","11,047","18,683 (1.4%)","6,241","6,192","2,564","2,584","2,433","1,222",117,191,440,"3,767",29,"1,136",830,"2,316","4,141","2,403","1,439","1,275","2,355",199,"10,328","35,330 (2.7%)",81,317,278,"2,337"
Slovakia,145200,2651392,"37,992 (1.4%)","83,116 (3.1%)","22,043","30,551 (1.2%)","15,240","21,199","11,826","5,370","5,357","6,237","3,483","1,118","1,009",973,"3,974",456,"2,911","3,661","5,358","12,690","9,519","3,961","5,191","3,936","1,860","16,905","6,256",781,"3,365","1,920","2,174"
Macedonia,34449,683776,"6,372","21,998 (3.2%)","3,292","3,875","4,876","2,968","1,360",587,607,516,670,304,354,906,"1,270",272,750,"1,049",491,"1,885","1,728",563,450,493,355,"2,793",732,285,489,323,"1,391"
Bhutan,1752,29696,512 (1.7%),"1,154 (3.9%)",75,672 (2.3%),3,104,81,27,25,25,73,2,19,1,116,1,1,1,25,125,108,43,17,16,16,94,12,1,30,4,1
Maldives,4617,61440,"1,318 (2.1%)","1,500 (2.4%)","1,141 (1.9%)",990 (1.6%),787 (1.3%),748 (1.2%),118,65,74,51,49,20,27,31,221,9,93,31,45,328,143,33,56,52,32,279,41,12,60,10,81
Honduras,29186,512512,"4,557","13,681 (2.7%)","2,481","5,348 (1.0%)","5,768 (1.1%)","3,159","3,334",668,788,556,"1,394",78,156,221,670,15,475,368,553,"1,507","1,182",356,536,535,246,"10,891 (2.1%)",583,36,171,121,544
Central African Republic,206,7424,36,166 (2.2%),7,31,26,19,7,6,10,6,1,1,4,3,131 (1.8%),1,8,1,6,125 (1.7%),8,13,3,3,2,6,4,2,3,3,10
Costa Rica,100836,2580224,"17,687","75,976 (2.9%)","3,785","11,815","17,688","9,308","3,507","26,647 (1.0%)","1,772","1,411","1,454",414,601,972,"2,058",287,"1,464","1,821","20,541","2,860","3,666","9,285","1,275","1,335",652,"6,809","1,230",358,"1,505",382,"1,575"
Vanuatu,1107,16640,284 (1.7%),507 (3.0%),266 (1.6%),77,39,22,109,25,30,11,4,1,1,1,128,1,10,17,14,184 (1.1%),46,18,18,23,3,237 (1.4%),20,1,9,6,7
"Korea, Republic of",6974736,112428032,"1,107,806","3,195,573 (2.8%)","243,459","235,533","399,607","604,240","371,156","631,474","92,330","86,763","124,939","46,891","54,049","53,100","15,711","19,377","23,576","691,475","88,767","457,773","158,504","692,941","57,061","63,361","104,391","606,669","104,638","52,217","49,975","98,293","40,676"
Nepal,22181,513792,"3,539","11,566 (2.3%)","2,459","6,202 (1.2%)","4,862","5,401 (1.1%)","1,065",926,982,860,437,166,673,288,"1,221",664,"1,026",293,859,"1,061",816,809,840,851,242,"2,660",423,665,324,385,903
Serbia,124246,2285824,"25,429 (1.1%)","59,150 (2.6%)","21,792","41,004 (1.8%)","15,485","17,572","4,938","3,783","3,954","1,824","3,062",280,"1,137","1,728","1,842",832,"1,835","2,883","1,814","10,638","5,004","1,876","1,612","2,160",739,"18,910","2,325",140,"1,882","1,206","1,710"
Sri Lanka,187420,545792,"6,158 (1.1%)","15,793 (2.9%)",830,"2,033","2,802","1,917","167,987 (30.8%)",689,813,538,517,244,319,637,516,4,410,590,582,756,"1,836",390,422,415,205,"1,574","10,064 (1.8%)",152,441,"4,092",298
Malaysia,298804,6586624,"89,168 (1.4%)","186,652 (2.8%)","22,322","23,908","14,340","41,445","18,123","15,553","16,378","10,887","12,348","2,521","2,381","4,226","7,942","1,165","5,336","14,068","10,750","10,156","20,972","5,419","10,592","11,448","6,295","36,926","5,655","2,917","8,318","3,647","8,666"
Kyrgyzstan,10944,272640,"2,254","5,588 (2.0%)",925,"3,423 (1.3%)","2,554","1,055","1,398",242,253,203,209,20,48,104,"1,089",6,372,86,201,710,604,"1,062",190,191,48,584,157,16,122,41,361
Panama,137393,1875712,"72,681 (3.9%)","46,420 (2.5%)","5,598","9,977","12,430","6,529","8,622","9,208","4,419","3,530","2,481",373,311,566,"2,056",36,"1,244","1,741","4,365","2,659","2,556","4,834","3,569","2,213",447,"31,905 (1.7%)","1,122",96,665,175,"1,126"
Cape Verde,1157,29696,382 (1.3%),564 (1.9%),49,84,166,46,52,13,10,11,10,6,9,12,140,1,19,12,9,379 (1.3%),158,6,24,27,6,52,17,2,27,16,24
Sao Tome and Principe,320,9216,66,194 (2.1%),36,40,14,25,8,3,3,2,5,1,1,3,128 (1.4%),1,5,2,2,148 (1.6%),14,1,0,2,1,20,10,1,3,1,7
Vietnam,842877,15860992,"174,373 (1.1%)","362,299 (2.3%)","297,888 (1.9%)","49,630","113,400","55,268","29,022","21,919","23,262","18,134","18,515",968,"2,388","10,931","14,882",424,"15,045","28,510","18,470","55,821","36,352","6,447","19,007","20,548","3,099","67,190","8,307",787,"6,013","24,025","14,892"
Ecuador,203924,2583040,"39,667 (1.5%)","44,361 (1.7%)","32,705 (1.3%)","41,748 (1.6%)","33,821 (1.3%)","119,730 (4.6%)","4,193","2,250","2,658","2,058","1,941",479,884,"1,104","3,766",242,"3,183","1,192","2,031","6,601","4,618","1,363","2,433","2,869",812,"12,760","110,595 (4.3%)",309,"1,232",524,"1,617"
Suriname,8541,80128,"2,583 (3.2%)",273,137,248,12,"4,913 (6.1%)",131,54,49,42,34,8,19,16,"1,919 (2.4%)",4,"1,764 (2.2%)",136,27,271,148,39,36,61,17,"3,211 (4.0%)",37,9,33,17,55
Georgia,51841,1204224,"11,221","32,257 (2.7%)","4,512","6,601","3,035","3,546","3,202",900,962,747,831,346,81,305,"2,267",11,962,294,807,"1,817","1,705",619,754,827,96,"3,763","1,177",35,647,431,996
Niger,1215,39936,230,824 (2.1%),74,328,283,43,50,29,33,22,13,2,8,2,176,1,30,3,20,141,22,27,13,11,7,42,7,1,19,7,78
Hungary,292495,5887488,"67,789 (1.2%)","113,384 (1.9%)","29,450","42,522","12,837","39,065","93,744 (1.6%)","13,459","13,214","13,123","9,513","2,226","2,707","2,388","12,089","1,568","7,477","10,152","11,162","23,572","14,531","10,210","10,224","10,508","3,972","30,485","7,679","1,962","5,936","3,399","7,252"
Madagascar,6689,167680,985,"1,595",436,"1,846 (1.1%)","2,720 (1.6%)","2,233 (1.3%)",206,166,172,122,92,42,61,52,285,27,117,79,128,454,242,147,97,107,86,"1,066",121,39,81,42,91
Philippines,166599,5467904,"43,045","91,304 (1.7%)","28,659","23,638","30,672","18,524","8,143","3,401","3,660","2,114","4,635","1,647","1,419","1,853","17,324",815,"26,830","3,111","2,036","6,703","6,889","2,106","2,525","2,771","2,599","19,785","3,722",890,"2,700","1,412","3,601"
Israel,250294,7714304,"97,386 (1.3%)","152,860 (2.0%)","15,101","29,868","28,940","36,526","29,923","15,510","16,811","9,774","5,916","2,975","2,511","2,955","14,030","1,459","12,774","5,688","9,777","10,543","13,815","4,976","7,957","8,767","3,604","16,712","4,073","1,670","8,371","3,201","8,270"
Chad,445,19968,45,338 (1.7%),62,155,94,80,7,3,2,3,3,1,3,3,127,1,7,1,3,188,10,7,1,3,5,15,3,1,9,4,8
Pakistan,295517,5353216,"35,454","104,592 (2.0%)","89,025 (1.7%)","20,530","25,919","35,573","6,575","3,786","3,731","1,997","2,450",858,"1,482","2,914","14,263","1,515","8,216","5,751","3,018","3,787","8,583","2,246","1,292","3,575","1,723","73,830 (1.4%)","1,635",844,"1,763","13,218","5,854"
Brazil,3499380,83370752,"542,533","1,346,040 (1.6%)","1,022,176 (1.2%)","619,792","528,455","332,522","122,312","134,531","139,846","46,804","77,753","20,777","21,917","28,909","94,120","12,724","69,147","110,959","42,432","121,777","169,485","53,557","41,216","71,647","28,911","554,437","192,003","18,279","41,516","38,496","112,528"
Argentina,790042,19109376,"152,825","293,386 (1.5%)","108,144","82,934","64,857","78,127","30,396","18,136","19,229","13,891","18,291","3,918","2,934","6,972","90,498","2,566","93,886","16,203","13,269","39,664","27,242","7,899","12,864","15,542","6,032","118,378","15,084","2,184","7,478","13,538","11,336"
Cyprus,32900,1060160,"12,063 (1.1%)","17,683 (1.7%)","2,938","6,950","4,964","6,576","4,043","2,278","2,354",719,"1,011",348,105,276,831,56,597,975,610,"3,009","1,731",589,"1,031","2,036",238,"6,245","1,131",68,"1,608",177,625
Nicaragua,17769,404736,"4,285 (1.1%)","6,513 (1.6%)","3,262","1,911","3,015","1,840","4,840 (1.2%)",295,394,240,140,23,121,163,430,19,229,69,256,911,540,145,388,420,107,"1,115",173,19,134,23,256
Germany,4191054,119650600,"2,280,674 (1.9%)","2,026,007 (1.7%)","342,213","1,191,025","112,392","986,031","705,090","421,105","408,302","408,232","371,282","15,619","23,972","19,210","102,611","7,580","73,916","105,438","373,228","187,467","197,733","178,827","384,195","373,199","71,551","295,742","111,325","51,747","245,143","50,640","97,751"
Barbados,4924,172800,"1,301","2,992 (1.7%)",111,"1,316","1,145","1,105",314,117,125,106,34,19,25,24,172,10,44,110,38,474,225,39,76,91,37,438,135,22,48,19,46
Tunisia,160462,5227008,"33,560","71,187 (1.4%)","19,630","50,291","66,364 (1.3%)","64,993 (1.2%)","1,192",657,694,471,552,53,219,422,"1,782",30,698,"1,036",466,"1,047","2,441","1,284",469,355,149,"44,124","2,618",44,447,114,"1,541"
Angola,34376,1206272,"4,421","23,746 (2.0%)","1,912","3,837","3,768","2,520",802,582,594,77,129,91,155,222,669,90,309,143,354,749,"2,703",151,62,285,124,898,"2,430",77,225,82,591
Haiti,6045,162816,"1,824 (1.1%)","2,589 (1.6%)",821,856,"1,038",94,53,20,39,17,38,13,28,41,234,5,48,37,20,246,161,55,14,23,27,"1,748 (1.1%)",78,4,62,17,92
Chile,258978,10194944,"70,627","115,769 (1.1%)","29,315","37,630","71,598","22,458","15,042","8,867","9,209","7,440","7,422","20,718","1,608","3,257","8,194",544,"6,486","17,786","7,358","10,393","13,587","4,106","7,056","7,495","2,517","48,216","4,976",764,"5,826","1,217","7,048"
Montenegro,16214,225280,"1,252","3,073 (1.4%)",361,"1,099","1,214",592,198,66,77,70,51,21,31,118,403,16,154,251,59,807,398,49,42,52,47,"11,105 (4.9%)","2,095",16,57,42,139
"Congo, The Democratic Republic of the",3599,147712,472,"2,717 (1.8%)",293,856,510,481,181,139,126,105,23,2,18,15,183,2,53,13,76,231,106,32,89,83,13,65,18,3,36,39,90
